winner;tender_title;authority;award_date;value_eur;value_raw;cpv;uuid;source_url;website;email
Musterbau Huber GmbH;S123/2026 Sanierung Objekt 12-14 Musterkaserne;Landesbaudirektion;2026-08-07;74922.5;74.922,50 €;45000000;uuid-demo-01;https://ausschreibungen.usp.gv.at/test;https://www.musterbau-huber.example.at;office@musterbau-huber.example.at
Elektro Kaiser GmbH;E2026/08 Adaptierung Lüftungstechnik;Landesbaudirektion;2026-08-07;92152.0;92.152,00 €;45000000;uuid-demo-01;https://ausschreibungen.usp.gv.at/test;https://www.elektro-kaiser.example.at;office@elektro-kaiser.example.at
Großbau Konzern AG;Wohnbaugesellschaft Muster BAG4 GU-Leistungen;Wohnbaugesellschaft Muster;2026-08-08;11839880.91;11.839.880,91 €;45000000;uuid-demo-01;https://ausschreibungen.usp.gv.at/test;https://www.grossbau.example.at;office@grossbau.example.at
Tiefbau Riesen AG;Gleisneulage Musterstrecke;Musterland Infrastruktur AG;2026-08-07;373028.56;373.028,56 €;45000000;uuid-demo-01;https://ausschreibungen.usp.gv.at/test;https://www.tiefbau-riesen.example.at;office@tiefbau-riesen.example.at
Baumeister Winter KG;Infrastruktur Musterstraße Baumeisterarbeiten;Musterprojekt GmbH;2026-08-07;570113.9;570.113,90 €;45000000;uuid-demo-01;https://ausschreibungen.usp.gv.at/test;https://www.baumeister-winter.example.at;office@baumeister-winter.example.at
Bietergemeinschaft Alpha;Bodenmarkierung Los 9;Autobahnbetreiber AG;2026-08-07;50523.22;50.523,22 €;45000000;uuid-demo-01;https://ausschreibungen.usp.gv.at/test;;;
Gebäudetechnik Muster GmbH;KOR_2026_01 HKLS Sanierung Objekt 12-14;Stadt Musterstadt;2026-05-15;240000.0;240.000,00 €;45000000;uuid-demo-01;https://ausschreibungen.usp.gv.at/test;https://www.gebaeudetechnik-muster.example.at;office@gebaeudetechnik-muster.example.at
Baumeister Beispiel GmbH;Sanierung Volksschule Musterdorf;Gemeinde Musterdorf;2025-01-15;180000.0;180.000,00 €;45000000;uuid-demo-01;https://ausschreibungen.usp.gv.at/test;https://www.baumeister-beispiel.example.at;office@baumeister-beispiel.example.at
IT & Partner OG;IT-Infrastruktur Gemeindeamt;Gemeinde Beispiel;2026-07-20;65000.0;65.000,00 €;72000000;uuid-demo-01;https://ausschreibungen.usp.gv.at/test;https://www.it-partner.example.at;office@it-partner.example.at
Muster GmbH;Straßenbauarbeiten;Landesstraßenverwaltung;2026-08-01;45000.0;45.000,00 €;45000000;uuid-demo-01;https://ausschreibungen.usp.gv.at/test;https://www.muster.at;office@muster.at
